Distributeur,tconst,Année_de_Sortie,Genre,Réalisateur_id,Réalisateur,Acteur_Id,Acteur,Actrice_Id,Actrice,Id_film,original_language,Titre,Synopsis,Popularité,Affiche_de_Film,Pays,Revenues,Durée,Langues,Note,Nombre_de_Vote,Catégorie
ARTEDIS,tt0824412,2007.0,Drama,nm0074213,Jacob Berger,nm0865333|nm2183372|nm0815668|nm0879785|nm1111610,"Bruno Todeschini,Louis Dussol,Zinedine Soualem,Hiro Uchiyama,Julien George",nm0753696|nm0462485|nm2035351|nm1682618|nm0581082,"Natacha Régnier,Noémie Kocher,Amelia Jacob,Isabelle Caillat,Véronique Mermoud",283467,fr,1 journée,"Jacob Berger’s film shows a day in the life of a family. People meet and leave, and wonder, will they find themselves again? At daybreak, Serge believes he has committed a crime. Pietra realises that she has been betrayed around midday. At one o’clock 8-year-old Vlad feels lovesick for the first time. The day is spent observing, looking, avoiding and meeting each other. One day, three different perspectives: the same evening twilight, the same loneliness. And there is always the stranger who crosses their path. How will Serge, Pietra and Vlad find each other?",0.6,/1bYZTdvta8091K2LVNLvE0FOZ75.jpg,"['FR', 'CH']",0,95,['fr'],5.0,2,Art et Essai
Bac Films,tt7501966,2018.0,"Comedy,Drama,Family",nm3930693,Marie-Sophie Chambon,nm0714235|nm0483200|nm0893830,"Philippe Rebbot,Jonathan Lambert,Guillaume Verdier",nm10743148|nm7742761|nm1551852|nm8664148|nm0993405,"Laure Duchene,Angèle Metzger,Pauline Serieys,Zoé De Tarlé,Isabelle de Hertogh",504054,fr,100 kilos d'étoiles,"Lois, 16, has only one dream: becoming an astronaut. However, although she’s gifted in physics, she has a big problem: Lois weighs over 200 pounds – a family trait she’s inescapably stuck with. Then, just when everything seems lost, Lois meets Amélie, Stannah, and Justine: three teenagers shattered, like her, by life’s tough breaks; yet ready for anything in order to leave with her for outer space…",1.897,/2V5psYsUdmz5og3gy6xSQfPpeuT.jpg,['FR'],0,88,['fr'],5.9,26,Art et Essai
ACACIAS,tt0237993,2000.0,"Comedy,Drama,Romance",nm0466349,Baltasar Kormákur,nm0350273|nm0466349|nm0959963|nm0348276|nm0259547,"Hilmir Snær Guðnason,Baltasar Kormákur,Ólafur Darri Ólafsson,Þröstur Leó Gunnarsson,Eyvindur Erlendsson",nm0000721|nm0439557|nm0897518|nm0085031,"Victoria Abril,Hanna María Karlsdóttir,Þrúður Vilhjálmsdóttir,Halldóra Björnsdóttir",10989,is,101 Reykjavík,"Thirty-year-old Hlynur still lives with his mother and spends his days drinking, watching porn and surfing the net while living off unemployment checks. A girl is interested in him, but he stands back from commitment. His mother's Spanish flamenco teacher, Lola, moves in with them for Christmas. On New Year's Eve, while his mother is away, Hlynur finds out Lola is a lesbian, but also ends up having sex with her. He soon finds out he and his mother are sharing more than a house. Eventually he must find out where he fits into the puzzle, and how to live life less selfishly.",5.799,/2vLEq5gD90ElBSOqZsj6AAVxoLV.jpg,"['DK', 'FR', 'DE', 'IS', 'NO']",0,88,"['is', 'es', 'en']",6.263,95,Art et Essai
GEBEKA Films,tt3433622,2014.0,Animation,nm0603756,Pascal Morelli,nm0419894|nm2018986|nm0154007|nm0135151|nm0146244,"Lucien Jean-Baptiste,Bertrand Nadler,Jean-Yves Chatelais,Franck Capillery,Philippe Catoire",nm4026842|nm7034552|nm1468693|nm3761626,"Daniela Labbé Cabrera,Lucille Boudonnat,Hélène Bizot,Hanako Danjo",319356,fr,108 Rois-Démons,"Empire of China. 12th century.  The King Demons terrorize the land. To defeat these monsters, one needs the courage of a hundred tigers, the strength of a thousand buffalo, the cunning of as many snakes... and have the luck of the devil.  All young Prince Duan has are fanciful illusions and stoutness.  All Zhang-the-Perfect has is his monk's staff and a bunch of incomprehensible proverbs.  All the little beggar Pei Pei has is the gift of the gab and a large appetite.  But, most of all, Prince Duan, the old monk and the little beggar girl didn't know that it is impossible to defeat the King Demons.  So they did it!",1.619,/xreS5heEDeMieIs26PGLwZReq4X.jpg,"['BE', 'FR', 'LU']",0,107,['fr'],7.2,5,Art et Essai
PALMERAIE ET DESERT,tt0395421,2004.0,Documentary,nm0220019,Raymond Depardon,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,125742,fr,10e chambre - Instants d'audience,"The proceedings of a Paris courtroom are the grist for this documentary. Drawn from over 200 appearances before the same female judge, the director chooses a dozen or so varied misdemeanor and civil hearings to highlight the subtle details of human behavior. In the process he draws attention to issues of guilt, innocence, policing and ethnicity in France.",1.443,/2kykPNLRCxlM23EnVOpWLwUdAbH.jpg,['FR'],0,105,['fr'],7.3,21,Art et Essai
KINOVISTA,tt0488478,2007.0,"Crime,Drama,Thriller",nm0586482,Nikita Mikhalkov,nm0538710|nm0307628|nm2807939|nm0586482|nm0300781,"Sergey Makovetskiy,Sergey Garmash,Apti Magamaev,Nikita Mikhalkov,Valentin Gaft",UNKNOWN,UNKNOWN,20714,ru,12,"A loose remake of “12 Angry Men”, “12” is set in contemporary Moscow where 12 very different men must unanimously decide the fate of a young Chechen accused of murdering his step-father, a Russian army officer. Consigned to a makeshift jury room in a school gymnasium, one by one each man takes center stage to confront, connect, and confess while the accused awaits a verdict and revisits his heartbreaking journey through war in flashbacks.",7.561,/7bl0aH8u7oBcd4QK9Fml01IN8KU.jpg,['RU'],7537453,159,"['ce', 'ru']",7.161,205,Art et Essai
WILD BUNCH,tt6777114,2017.0,Documentary,nm0220019,Raymond Depardon,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,452221,fr,12 jours,A new documentary by filmmaker-photographer Raymond Depardon – where justice and psychiatry meet.,3.233,/sVVu9qO7uhLpsjNDser7AZXCEwA.jpg,['FR'],0,87,['fr'],7.1,44,Art et Essai
MARS Distribution,tt2024544,2013.0,"Biography,Drama,History",nm2588606,Steve McQueen,nm0252230|nm0931324|nm1055413|nm0000093|nm4833412,"Chiwetel Ejiofor,Michael Kenneth Williams,Michael Fassbender,Brad Pitt,Dwight Henry",nm1788122|nm0779427|nm4832920,"Ashley Dyke,Kelsey Scott,Quvenzhané Wallis",76203,en,12 Years a Slave,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.",18.692,/xdANQijuNrJaw1HA61rDccME4Tm.jpg,"['US', 'GB']",187000000,134,['en'],7.946,10332,Art et Essai
MEMENTO FILMS,tt6135348,2017.0,Drama,nm0133028,Robin Campillo,nm1465580|nm1798489|nm6995530|nm9029751|nm8933245,"Nahuel Pérez Biscayart,Arnaud Valois,Antoine Reinartz,Félix Maritaud,Ariel Borenstein",nm1194748|nm7943224,"Adèle Haenel,Aloïse Sauvage",451945,fr,120 battements par minute,"Paris, in the early 1990s: a group of young activists is desperately tied to finding the cure against an unknown lethal disease. They target the pharmaceutical labs that are retaining potential cures, and multiply direct actions, with the hope of saving their lives as well as the ones of future generations.",9.964,/azLtGx5ZhdTSP2b4oNLWtiE51OW.jpg,['FR'],7632420,135,['fr'],7.7,1241,Art et Essai
REZO FILMS,tt0932507,2007.0,"Crime,Drama,Thriller",nm1758990,Barthélémy Grossmann,nm1758990|nm0419894|nm1763487|nm0508293|nm0276567,"Barthélémy Grossmann,Lucien Jean-Baptiste,Youssef Hajdi,Thierry Lhermitte,Alain Figlarz",nm0067367,Bérénice Bejo,31862,fr,13 m²,"Jose is looking for a way out of his small time banlieue deals. When he overhears a conversation between his girlfriend and his step-brother,he might just have found a very lucrative way.Together with his two best friends,he decides to attack an armored vehicle, full of cash. But everything goes wrong and they're forced into hiding,in a 13 square meters bunker. There, they will have to test their friendship, their motivations, as every move outside triggers even more, paranoia.",1.744,/x0emlDBvjgt3OZ2Vxee9sygH64v.jpg,['FR'],0,84,['fr'],5.111,18,Art et Essai
